ano;mes;ameaca;lesao;estupro;feminicidio;feminicidio_tentado
2012;1;4271;2655;154;12;
2012;2;4040;2571;108;14;
2012;3;3912;2305;126;8;
2012;4;3527;2055;85;5;
2012;5;3617;2012;106;8;
2012;6;3183;1725;103;2;
2012;7;3188;1714;125;12;
2012;8;3630;2148;130;13;
2012;9;3395;2079;107;9;
2012;10;3944;2457;132;9;
2012;11;4020;2427;140;3;
2012;12;4242;2975;138;6;
2013;1;4537;2674;153;7;26
2013;2;3853;2425;129;12;21
2013;3;3845;2298;104;8;19
2013;4;3683;2071;105;9;19
2013;5;3237;1970;116;10;13
2013;6;3266;1793;124;9;18
2013;7;3315;1724;112;5;13
2013;8;3300;1766;109;6;19
2013;9;3251;1932;98;8;22
2013;10;3584;2184;145;7;19
2013;11;3857;2456;122;2;21
2013;12;4151;2844;131;9;19
2014;1;4455;2571;152;5;38
2014;2;3937;2304;102;9;24
2014;3;3994;2324;135;11;29
2014;4;3617;2013;105;8;15
2014;5;3452;1745;109;4;17
2014;6;3193;1804;94;3;17
2014;7;3489;1711;107;4;24
2014;8;3542;1987;83;3;23
2014;9;3540;1871;109;6;26
2014;10;3856;2265;117;5;24
2014;11;3853;2354;143;9;29
2014;12;3843;2593;151;8;20
2015;1;4434;2639;142;5;25
2015;2;3902;2310;120;13;30
2015;3;4370;2371;126;5;32
2015;4;3893;2099;129;9;33
2015;5;3593;1928;111;8;33
2015;6;3152;1647;125;5;14
2015;7;2968;1647;95;7;18
2015;8;2983;1853;129;12;29
2015;9;2744;1590;123;9;14
2015;10;3382;1968;134;11;27
2015;11;3648;2104;92;7;25
2015;12;3772;2377;146;8;31
2016;1;4169;2504;206;10;16
2016;2;3923;2265;119;13;18
2016;3;3705;1976;147;8;20
2016;4;3359;1914;99;11;28
2016;5;2984;1514;99;3;15
2016;6;2846;1441;126;4;14
2016;7;3059;1633;129;6;20
2016;8;3080;1588;137;10;28
2016;9;2843;1602;103;10;19
2016;10;3131;1958;123;5;24
2016;11;3317;1966;145;7;26
2016;12;3190;2306;141;9;35
2017;1;3576;2197;167;9;23
2017;2;3356;2096;124;8;30
2017;3;3454;2026;127;6;32
2017;4;2905;1806;120;6;28
2017;5;2961;1550;124;3;17
2017;6;2770;1514;112;9;22
2017;7;3222;1797;132;4;27
2017;8;3184;1754;151;8;33
2017;9;3112;1896;175;14;34
2017;10;3104;1938;149;3;27
2017;11;3069;1973;137;7;21
2017;12;3233;2413;143;6;28
2018;1;3625;2176;194;7;35
2018;2;3268;1989;173;3;34
2018;3;3459;2073;175;8;30
2018;4;3314;1837;167;11;44
2018;5;2875;1628;158;10;34
2018;6;2640;1441;110;16;17
2018;7;2868;1432;121;8;33
2018;8;3047;1450;151;10;22
2018;9;2944;1749;135;12;26
2018;10;3285;1882;112;7;26
2018;11;3188;1936;99;8;32
2018;12;3110;2222;117;16;22
2019;1;3765;2116;184;3;44
2019;2;3214;1820;132;1;23
2019;3;3457;1949;126;11;25
2019;4;3085;1719;107;6;37
2019;5;2893;1499;104;11;31
2019;6;2799;1589;133;9;23
2019;7;2739;1364;143;14;22
2019;8;3004;1460;156;8;27
2019;9;3031;1663;174;7;14
2019;10;3085;1723;166;9;41
2019;11;3075;1885;156;11;39
2019;12;3234;2202;133;7;33
