data;ameaca;lesao;estupro;feminicidio;feminicidio_tentado
1-2012;4271;2655;154;12;
2-2012;4040;2571;108;14;
3-2012;3912;2305;126;8;
4-2012;3527;2055;85;5;
5-2012;3617;2012;106;8;
6-2012;3183;1725;103;2;
7-2012;3188;1714;125;12;
8-2012;3630;2148;130;13;
9-2012;3395;2079;107;9;
10-2012;3944;2457;132;9;
11-2012;4020;2427;140;3;
12-2012;4242;2975;138;6;
1-2013;4537;2674;153;7;26
2-2013;3853;2425;129;12;21
3-2013;3845;2298;104;8;19
4-2013;3683;2071;105;9;19
5-2013;3237;1970;116;10;13
6-2013;3266;1793;124;9;18
7-2013;3315;1724;112;5;13
8-2013;3300;1766;109;6;19
9-2013;3251;1932;98;8;22
10-2013;3584;2184;145;7;19
11-2013;3857;2456;122;2;21
12-2013;4151;2844;131;9;19
1-2014;4455;2571;152;5;38
2-2014;3937;2304;102;9;24
3-2014;3994;2324;135;11;29
4-2014;3617;2013;105;8;15
5-2014;3452;1745;109;4;17
6-2014;3193;1804;94;3;17
7-2014;3489;1711;107;4;24
8-2014;3542;1987;83;3;23
9-2014;3540;1871;109;6;26
10-2014;3856;2265;117;5;24
11-2014;3853;2354;143;9;29
12-2014;3843;2593;151;8;20
1-2015;4434;2639;142;5;25
2-2015;3902;2310;120;13;30
3-2015;4370;2371;126;5;32
4-2015;3893;2099;129;9;33
5-2015;3593;1928;111;8;33
6-2015;3152;1647;125;5;14
7-2015;2968;1647;95;7;18
8-2015;2983;1853;129;12;29
9-2015;2744;1590;123;9;14
10-2015;3382;1968;134;11;27
11-2015;3648;2104;92;7;25
12-2015;3772;2377;146;8;31
1-2016;4169;2504;206;10;16
2-2016;3923;2265;119;13;18
3-2016;3705;1976;147;8;20
4-2016;3359;1914;99;11;28
5-2016;2984;1514;99;3;15
6-2016;2846;1441;126;4;14
7-2016;3059;1633;129;6;20
8-2016;3080;1588;137;10;28
9-2016;2843;1602;103;10;19
10-2016;3131;1958;123;5;24
11-2016;3317;1966;145;7;26
12-2016;3190;2306;141;9;35
1-2017;3576;2197;167;9;23
2-2017;3356;2096;124;8;30
3-2017;3454;2026;127;6;32
4-2017;2905;1806;120;6;28
5-2017;2961;1550;124;3;17
6-2017;2770;1514;112;9;22
7-2017;3222;1797;132;4;27
8-2017;3184;1754;151;8;33
9-2017;3112;1896;175;14;34
10-2017;3104;1938;149;3;27
11-2017;3069;1973;137;7;21
12-2017;3233;2413;143;6;28
1-2018;3625;2176;194;7;35
2-2018;3268;1989;173;3;34
3-2018;3459;2073;175;8;30
4-2018;3314;1837;167;11;44
5-2018;2875;1628;158;10;34
6-2018;2640;1441;110;16;17
7-2018;2868;1432;121;8;33
8-2018;3047;1450;151;10;22
9-2018;2944;1749;135;12;26
10-2018;3285;1882;112;7;26
11-2018;3188;1936;99;8;32
12-2018;3110;2222;117;16;22
1-2019;3765;2116;184;3;44
2-2019;3214;1820;132;1;23
3-2019;3457;1949;126;11;25
4-2019;3085;1719;107;6;37
5-2019;2893;1499;104;11;31
6-2019;2799;1589;133;9;23
7-2019;2739;1364;143;14;22
8-2019;3004;1460;156;8;27
9-2019;3031;1663;174;7;14
10-2019;3085;1723;166;9;41
11-2019;3075;1885;156;11;39
12-2019;3234;2202;133;7;33
